2025-03-21 02:35:45 configure libpcre2-8-0:amd64 10.42-4ubuntu3 10.42-4ubuntu3
2025-03-21 02:35:45 status half-configured libpcre2-8-0:amd64 10.42-4ubuntu3
2025-03-21 02:35:45 status installed libpcre2-8-0:amd64 10.42-4ubuntu3
2025-03-21 02:35:45 configure libtinfo6:amd64 6.5-2 6.5-2
2025-03-21 02:35:45 status half-configured libtinfo6:amd64 6.5-2
2025-03-21 02:35:45 status installed libtinfo6:amd64 6.5-2
2025-03-21 02:35:45 configure libdb5.3t64:amd64 5.3.28+dfsg2-7 5.3.28+dfsg2-7
2025-03-21 02:35:45 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-7
2025-03-21 02:35:45 status installed libdb5.3t64:amd64 5.3.28+dfsg2-7
2025-03-21 02:35:45 configure zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-03-21 02:35:45 status half-configured zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-03-21 02:35:45 status installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu1
2025-03-21 02:35:45 configure libacl1:amd64 2.3.2-2 2.3.2-2
2025-03-21 02:35:45 status half-configured libacl1:amd64 2.3.2-2
2025-03-21 02:35:45 status installed libacl1:amd64 2.3.2-2
2025-03-21 02:35:45 configure sysvinit-utils:amd64 3.08-6ubuntu3 3.08-6ubuntu3
2025-03-21 02:35:45 status half-configured sysvinit-utils:amd64 3.08-6ubuntu3
2025-03-21 02:35:45 status installed sysvinit-utils:amd64 3.08-6ubuntu3
2025-03-21 02:35:45 configure diffutils:amd64 1:3.10-1build1 1:3.10-1build1
2025-03-21 02:35:45 status half-configured diffutils:amd64 1:3.10-1build1
2025-03-21 02:35:45 status installed diffutils:amd64 1:3.10-1build1
2025-03-21 02:35:45 configure libcap2:amd64 1:2.66-5ubuntu3 1:2.66-5ubuntu3
2025-03-21 02:35:45 status half-configured libcap2:amd64 1:2.66-5ubuntu3
2025-03-21 02:35:45 status installed libcap2:amd64 1:2.66-5ubuntu3
2025-03-21 02:35:45 configure libdebconfclient0:amd64 0.272ubuntu1 0.272ubuntu1
2025-03-21 02:35:45 status half-configured libdebconfclient0:amd64 0.272ubuntu1
2025-03-21 02:35:45 status installed libdebconfclient0:amd64 0.272ubuntu1
2025-03-21 02:35:45 configure dash:amd64 0.5.12-9ubuntu1 0.5.12-9ubuntu1
2025-03-21 02:35:45 status half-configured dash:amd64 0.5.12-9ubuntu1
2025-03-21 02:35:45 status installed dash:amd64 0.5.12-9ubuntu1
2025-03-21 02:35:45 configure libssl3t64:amd64 3.3.1-2ubuntu2 3.3.1-2ubuntu2
2025-03-21 02:35:45 status half-configured libssl3t64:amd64 3.3.1-2ubuntu2
2025-03-21 02:35:45 status installed libssl3t64:amd64 3.3.1-2ubuntu2
2025-03-21 02:35:45 configure libuuid1:amd64 2.40.2-1ubuntu1 2.40.2-1ubuntu1
2025-03-21 02:35:45 status half-configured libuuid1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 status installed libuuid1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 configure ncurses-bin:amd64 6.5-2 6.5-2
2025-03-21 02:35:45 status half-configured ncurses-bin:amd64 6.5-2
2025-03-21 02:35:45 status installed ncurses-bin:amd64 6.5-2
2025-03-21 02:35:45 configure libsmartcols1:amd64 2.40.2-1ubuntu1 2.40.2-1ubuntu1
2025-03-21 02:35:45 status half-configured libsmartcols1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 status installed libsmartcols1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 configure grep:amd64 3.11-4build1 3.11-4build1
2025-03-21 02:35:45 status half-configured grep:amd64 3.11-4build1
2025-03-21 02:35:45 status installed grep:amd64 3.11-4build1
2025-03-21 02:35:45 configure libblkid1:amd64 2.40.2-1ubuntu1 2.40.2-1ubuntu1
2025-03-21 02:35:45 status half-configured libblkid1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 status installed libblkid1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 configure libcap-ng0:amd64 0.8.5-1 0.8.5-1
2025-03-21 02:35:45 status half-configured libcap-ng0:amd64 0.8.5-1
2025-03-21 02:35:45 status installed libcap-ng0:amd64 0.8.5-1
2025-03-21 02:35:45 configure libc-bin:amd64 2.40-1ubuntu3 2.40-1ubuntu3
2025-03-21 02:35:45 status half-configured libc-bin:amd64 2.40-1ubuntu3
2025-03-21 02:35:45 status installed libc-bin:amd64 2.40-1ubuntu3
2025-03-21 02:35:45 configure base-files:amd64 13.3ubuntu6 13.3ubuntu6
2025-03-21 02:35:45 status half-configured base-files:amd64 13.3ubuntu6
2025-03-21 02:35:45 status installed base-files:amd64 13.3ubuntu6
2025-03-21 02:35:45 configure libudev1:amd64 256.5-2ubuntu3 256.5-2ubuntu3
2025-03-21 02:35:45 status triggers-pending libc-bin:amd64 2.40-1ubuntu3
2025-03-21 02:35:45 status half-configured libudev1:amd64 256.5-2ubuntu3
2025-03-21 02:35:45 status installed libudev1:amd64 256.5-2ubuntu3
2025-03-21 02:35:45 configure hostname:amd64 3.23+nmu2ubuntu2 3.23+nmu2ubuntu2
2025-03-21 02:35:45 status half-configured hostname:amd64 3.23+nmu2ubuntu2
2025-03-21 02:35:45 status installed hostname:amd64 3.23+nmu2ubuntu2
2025-03-21 02:35:45 configure libattr1:amd64 1:2.5.2-1build2 1:2.5.2-1build2
2025-03-21 02:35:45 status half-configured libattr1:amd64 1:2.5.2-1build2
2025-03-21 02:35:45 status installed libattr1:amd64 1:2.5.2-1build2
2025-03-21 02:35:45 configure libselinux1:amd64 3.5-2ubuntu5 3.5-2ubuntu5
2025-03-21 02:35:45 status half-configured libselinux1:amd64 3.5-2ubuntu5
2025-03-21 02:35:45 status installed libselinux1:amd64 3.5-2ubuntu5
2025-03-21 02:35:45 configure libaudit1:amd64 1:4.0.1-1ubuntu2 1:4.0.1-1ubuntu2
2025-03-21 02:35:45 status half-configured libaudit1:amd64 1:4.0.1-1ubuntu2
2025-03-21 02:35:45 status installed libaudit1:amd64 1:4.0.1-1ubuntu2
2025-03-21 02:35:45 configure bash:amd64 5.2.32-1ubuntu1 5.2.32-1ubuntu1
2025-03-21 02:35:45 status half-configured bash:amd64 5.2.32-1ubuntu1
2025-03-21 02:35:45 status installed bash:amd64 5.2.32-1ubuntu1
2025-03-21 02:35:45 configure sed:amd64 4.9-2build1 4.9-2build1
2025-03-21 02:35:45 status half-configured sed:amd64 4.9-2build1
2025-03-21 02:35:45 status installed sed:amd64 4.9-2build1
2025-03-21 02:35:45 configure libsystemd0:amd64 256.5-2ubuntu3 256.5-2ubuntu3
2025-03-21 02:35:45 status half-configured libsystemd0:amd64 256.5-2ubuntu3
2025-03-21 02:35:45 status installed libsystemd0:amd64 256.5-2ubuntu3
2025-03-21 02:35:45 configure base-passwd:amd64 3.6.4 3.6.4
2025-03-21 02:35:45 status half-configured base-passwd:amd64 3.6.4
2025-03-21 02:35:45 status installed base-passwd:amd64 3.6.4
2025-03-21 02:35:45 configure libmount1:amd64 2.40.2-1ubuntu1 2.40.2-1ubuntu1
2025-03-21 02:35:45 status half-configured libmount1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 status installed libmount1:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:45 configure coreutils:amd64 9.4-3.1ubuntu1 9.4-3.1ubuntu1
2025-03-21 02:35:45 status half-configured coreutils:amd64 9.4-3.1ubuntu1
2025-03-21 02:35:45 status installed coreutils:amd64 9.4-3.1ubuntu1
2025-03-21 02:35:45 configure findutils:amd64 4.10.0-3 4.10.0-3
2025-03-21 02:35:45 status half-configured findutils:amd64 4.10.0-3
2025-03-21 02:35:45 status installed findutils:amd64 4.10.0-3
2025-03-21 02:35:45 configure libpam0g:amd64 1.5.3-7ubuntu2 1.5.3-7ubuntu2
2025-03-21 02:35:45 status half-configured libpam0g:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:45 status installed libpam0g:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:45 configure tar:amd64 1.35+dfsg-3build1 1.35+dfsg-3build1
2025-03-21 02:35:45 status half-configured tar:amd64 1.35+dfsg-3build1
2025-03-21 02:35:45 status installed tar:amd64 1.35+dfsg-3build1
2025-03-21 02:35:45 configure dpkg:amd64 1.22.11ubuntu1 1.22.11ubuntu1
2025-03-21 02:35:45 status half-configured dpkg:amd64 1.22.11ubuntu1
2025-03-21 02:35:45 status installed dpkg:amd64 1.22.11ubuntu1
2025-03-21 02:35:46 configure gzip:amd64 1.12-1.1ubuntu1 1.12-1.1ubuntu1
2025-03-21 02:35:46 status half-configured gzip:amd64 1.12-1.1ubuntu1
2025-03-21 02:35:46 status installed gzip:amd64 1.12-1.1ubuntu1
2025-03-21 02:35:46 configure perl-base:amd64 5.38.2-5 5.38.2-5
2025-03-21 02:35:46 status half-configured perl-base:amd64 5.38.2-5
2025-03-21 02:35:46 status installed perl-base:amd64 5.38.2-5
2025-03-21 02:35:46 configure bsdutils:amd64 1:2.40.2-1ubuntu1 1:2.40.2-1ubuntu1
2025-03-21 02:35:46 status half-configured bsdutils:amd64 1:2.40.2-1ubuntu1
2025-03-21 02:35:46 status installed bsdutils:amd64 1:2.40.2-1ubuntu1
2025-03-21 02:35:46 configure libpam-modules-bin:amd64 1.5.3-7ubuntu2 1.5.3-7ubuntu2
2025-03-21 02:35:46 status half-configured libpam-modules-bin:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:46 status installed libpam-modules-bin:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:46 configure libpam-modules:amd64 1.5.3-7ubuntu2 1.5.3-7ubuntu2
2025-03-21 02:35:46 status half-configured libpam-modules:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:46 status installed libpam-modules:amd64 1.5.3-7ubuntu2
2025-03-21 02:35:46 configure libpam-runtime:all 1.5.3-7ubuntu2 1.5.3-7ubuntu2
2025-03-21 02:35:46 status half-configured libpam-runtime:all 1.5.3-7ubuntu2
2025-03-21 02:35:46 status installed libpam-runtime:all 1.5.3-7ubuntu2
2025-03-21 02:35:46 configure util-linux:amd64 2.40.2-1ubuntu1 2.40.2-1ubuntu1
2025-03-21 02:35:46 status half-configured util-linux:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:46 status installed util-linux:amd64 2.40.2-1ubuntu1
2025-03-21 02:35:46 trigproc libc-bin:amd64 2.40-1ubuntu3 2.40-1ubuntu3
2025-03-21 02:35:46 status half-configured libc-bin:amd64 2.40-1ubuntu3
2025-03-21 02:35:46 status installed libc-bin:amd64 2.40-1ubuntu3
2025-03-21 02:35:49 startup archives install
